,group,mouse,timestep,day,volume,relative volume,volume (cm$^2$)
0,150kHz,0,0.0,0,41.5,1.0,0.0415
1,150kHz,0,1.0,1,38.8,0.9349397590361445,0.0388
2,150kHz,0,2.0,3,54.9,1.3228915662650602,0.0549
3,150kHz,0,3.0,4,19.2,0.4626506024096385,0.0192
4,150kHz,0,4.0,6,91.8,2.212048192771084,0.09179999999999999
5,150kHz,0,5.0,7,129.0,3.108433734939759,0.129
6,150kHz,0,6.0,8,156.64,3.774457831325301,0.15664
7,150kHz,0,7.0,9,180.0,4.337349397590361,0.18
8,150kHz,0,8.0,11,240.0,5.783132530120482,0.24
9,150kHz,0,9.0,12,343.0,8.265060240963855,0.343
10,150kHz,0,10.0,14,412.0,9.927710843373495,0.41200000000000003
11,150kHz,0,11.0,16,462.0,11.132530120481928,0.462
12,150kHz,1,0.0,0,22.906,1.0,0.022906
13,150kHz,1,1.0,1,10.4,0.45402951191827473,0.010400000000000001
14,150kHz,1,2.0,3,10.7,0.4671265170697634,0.0107
15,150kHz,1,3.0,4,3.3,0.14406705666637562,0.0033
16,150kHz,1,4.0,6,17.8,0.7770889723216625,0.0178
17,150kHz,1,5.0,7,25.0,1.0914170959573912,0.025
18,150kHz,1,6.0,8,36.5,1.5934689600977912,0.0365
19,150kHz,1,7.0,9,44.0,1.9208940888850083,0.044
20,150kHz,1,8.0,11,62.0,2.70671439797433,0.062
21,150kHz,1,9.0,12,80.5,3.5143630489827995,0.0805
22,150kHz,1,10.0,14,85.0,3.7108181262551296,0.085
23,150kHz,1,11.0,16,94.0,4.103728280799791,0.094
24,150kHz,2,0.0,0,86.155,1.0,0.08615500000000001
25,150kHz,2,1.0,1,44.9,0.521153734548198,0.0449
26,150kHz,2,2.0,3,55.3,0.6418664035749521,0.055299999999999995
27,150kHz,2,3.0,4,22.0,0.2553537229412106,0.022
28,150kHz,2,4.0,6,105.0,1.2187336776739597,0.105
29,150kHz,2,5.0,7,144.0,1.6714061865242875,0.14400000000000002
30,150kHz,2,6.0,8,171.88,1.99500899541524,0.17188
31,150kHz,2,7.0,9,195.0,2.2633625442516396,0.195
32,150kHz,2,8.0,11,344.0,3.9928036678080203,0.34400000000000003
33,150kHz,2,9.0,12,595.0,6.906157506819105,0.595
34,150kHz,2,10.0,14,754.0,8.751668504439673,0.754
35,150kHz,2,11.0,16,936.0,10.86414021240787,0.936
36,150kHz,3,0.0,0,77.358,1.0,0.07735800000000001
37,150kHz,3,1.0,1,42.1,0.5442229633651335,0.042100000000000005
38,150kHz,3,2.0,3,50.5,0.6528090178132837,0.0505
39,150kHz,3,3.0,4,15.0,0.193903668657411,0.015
40,150kHz,3,4.0,6,112.0,1.4478140593086688,0.112
41,150kHz,3,5.0,7,173.0,2.2363556451821403,0.17300000000000001
42,150kHz,3,6.0,8,229.44,2.9659505157837582,0.22944
43,150kHz,3,7.0,9,256.0,3.309289278419814,0.256
44,150kHz,3,8.0,11,414.0,5.351741254944543,0.41400000000000003
45,150kHz,3,9.0,12,681.0,8.80322655704646,0.681
46,150kHz,3,10.0,14,772.0,9.979575480234752,0.772
47,150kHz,3,11.0,16,828.0,10.703482509889087,0.8280000000000001
48,150kHz,4,0.0,0,7.6358,1.0,0.0076358
49,150kHz,4,1.0,1,4.32,0.5657560438984783,0.00432
50,150kHz,4,2.0,3,1.87,0.2448990282616098,0.0018700000000000001
51,150kHz,4,3.0,4,1.94,0.2540663715655203,0.0019399999999999999
52,150kHz,4,4.0,6,2.08,0.27240105817334137,0.0020800000000000003
